,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
17,United Kingdom,0.929,0.85,8.503767491926805,1.0,8.243507930666667,3.913083792,0.8979277971830119,2.84785,0.9012768105149771,17.96959,0.7576242336654596,18.6,26.7,12.65,35.1,Very high,80.7422,17.30971909,13.4061203,45224.76564,9.0,17.0,79.9,3344.0,1.0
25,United Arab Emirates,0.911,-99.9,-99.9,-99.9,-99.9,4.524926186,0.8623661190229948,12.63435527,0.751114633295865,-99.9,-99.9,23.0,20.0,15.83,26.0,Very high,78.7104,15.71769047,12.69402981,62573.59181,-15.0,25.0,62.03,3314.0,1.0
4,Australia,0.951,0.876,7.886435331230279,-6.0,7.640183183,2.73797965,0.9655350394021961,3.056569899,0.8959776785411915,17.126,0.7760600557912021,19.5,26.6,11.28,34.3,Very high,84.5265,21.05459023,12.72681999,49238.43335,18.0,5.0,121.61,3391.0,1.0
24,Austria,0.916,0.851,7.096069868995636,9.0,6.904079794666667,3.256919384,0.9165245971398608,2.52241,0.8317001185575643,14.93291,0.8075479186538365,21.2,23.2,10.09,30.2,Very high,81.5797,16.00795937,12.25669003,53618.67138,-8.0,23.0,87.23,3695.0,1.0
47,Turkey,0.838,0.717,14.439140811455854,-7.0,14.195660998333333,5.864824295,0.8114799721804371,13.64287582,0.6802966573546824,23.07928288,0.6666732947608066,15.5,31.6,18.84,41.9,Very high,76.0324,18.3382206,8.63313961,31032.80106,-3.0,48.0,38.87,3711.0,1.0
97,Tunisia,0.731,0.588,19.56224350205199,-7.0,19.18297336033333,9.956520081,0.7448936919779194,30.70285,0.4685892643237766,16.88955,0.581339694671725,20.1,25.6,10.91,32.8,High,73.7719,15.42538224,7.431598614,10257.54477,10.0,94.0,28.36,3450.0,1.0
56,Trinidad and Tobago,0.81,-99.9,-99.9,-99.9,-99.9,10.87518406,0.7263110327194071,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,20.75,-99.9,Very high,72.9709,14.53545292,11.61062419,23392.02084,1.0,56.0,68.66,2991.0,1.0
65,Thailand,0.8,0.686,14.249999999999996,-2.0,14.167983642333333,6.868660927,0.8412682809548961,16.84539,0.6079240153108559,18.7899,0.6302386837035631,19.0,27.0,17.76,35.0,Very high,78.7154,15.88221913,8.697119713,17030.15352,6.0,64.0,27.37,2804.0,1.0
12,Belgium,0.937,0.874,6.723585912486662,1.0,6.587387026333334,3.582081079,0.9178793045441358,5.87561,0.8589063926704895,10.30447,0.8480950878381355,23.2,22.3,8.63,27.2,Very high,81.8787,19.60421944,12.37567997,52293.39977,7.0,16.0,65.78,3769.0,1.0
0,Switzerland,0.962,0.894,7.0686070686070686,-3.0,6.899906359666667,3.103429079,0.9538677327440326,2.01457,0.9017896244663751,15.58172,0.8296716970271278,19.9,25.8,11.46,33.1,Very high,83.9872,16.50029945,13.85966015,66933.00454,5.0,3.0,67.54,3354.0,1.0
